address,price_(dkk),area_(sqm),rooms,energy_rating,price_per_sqm_(dkk),days_on_market,image_url,property_url,market_status,price_category
"Kløverprisvej 11, 2650 Hvidovre",4195000,99,4,d,42374,3,https://images.boligsiden.dk/images/case/efd0a3ce-c405-4f39-becc-7adcb6918dde/600x400/9edec998-9ff2-492e-bc52-d9b50b336915.webp,https://www.boligsiden.dk/adresse/kloeverprisvej-11-0-tv-2650-hvidovre-01674809__11_st__tv,New,High
"Hovedporten 3D, 2650 Hvidovre",3995000,94,4,c,42500,22,https://images.boligsiden.dk/images/case/165afaeb-b827-43b6-8347-a89aac9d5b7e/600x400/69dbf810-24f3-41ae-914a-549d8e714216.webp,https://www.boligsiden.dk/adresse/hovedporten-3d-0-2650-hvidovre-01673706__3d_st____,New,High
"Lindebugten 2, 2500 Valby",3250000,75,3,d,43333,127,https://images.boligsiden.dk/images/case/9d835680-bab1-4542-9c45-300bd9f0e571/600x400/8581c9e3-af56-496d-8257-6b15b9618efe.webp,https://www.boligsiden.dk/adresse/lindebugten-2-2-th-2500-valby-01014324___2__2__th,Old,High
"Lily Brobergs Vej 55, 2500 Valby",4395000,100,3,a2015,43950,10,https://images.boligsiden.dk/images/case/63a3ee62-e651-4426-b871-bed1137b6b84/600x400/a778cd33-1e48-45dd-a18d-ef06d3446635.webp,https://www.boligsiden.dk/adresse/lily-brobergs-vej-55-2-tv-2500-valby-01014310__55__2__tv,New,High
"Spinderigade 20, 2500 Valby",4995000,113,4,c,44204,273,https://images.boligsiden.dk/images/case/22f3a4fa-0293-4eac-baad-775c570ea13d/600x400/fb7b54fe-001b-4182-a0a5-0d71449cdd83.webp,https://www.boligsiden.dk/adresse/spinderigade-20-1-th-2500-valby-01016771__20__1__th,Very Old,High
"Vigerslevvej 295, 2500 Valby",4795000,108,4,b,44398,15,https://images.boligsiden.dk/images/case/ecb5f483-ac9f-4081-8400-66fcfec04c00/600x400/b0f68f4a-a07e-4e6b-b1c3-781e0e968abf.webp,https://www.boligsiden.dk/adresse/vigerslevvej-295-0-th-2500-valby-01018320_295_st__th,New,High
"Carl Jacobsens Vej 14S, 2500 Valby",4645000,104,3,a2015,44663,149,https://images.boligsiden.dk/images/case/3c44703e-60c1-447a-81ca-d799af139577/600x400/0d0d2302-4947-46fc-8ece-1cdabbaffb3a.webp,https://www.boligsiden.dk/adresse/carl-jacobsens-vej-14s-2-tv-2500-valby-01011064_14s__2__tv,Old,High
"Vigerslevvej 35, 2500 Valby",4295000,95,4,a2010,45211,4,https://images.boligsiden.dk/images/case/6a93fcc1-fc65-48e0-9009-948ee9b8e301/600x400/cc34b56b-fa24-439f-bc33-228a6303de23.webp,https://www.boligsiden.dk/adresse/vigerslevvej-35-3-mf-2500-valby-01018320__35__3__mf,New,High
"Carl Jacobsens Vej 14S, 2500 Valby",4745000,104,3,a2015,45625,2,https://images.boligsiden.dk/images/case/b57df851-b301-4046-88f2-33f1f0f490ab/600x400/98ac3486-0f26-48e7-bb9d-39d760c7d45e.webp,https://www.boligsiden.dk/adresse/carl-jacobsens-vej-14s-3-tv-2500-valby-01011064_14s__3__tv,New,High
"Roskildevej 155, 2500 Valby",3495000,76,3,c,45987,126,https://images.boligsiden.dk/images/case/7a0778a3-cbd3-4c39-985a-1cc0968e48a2/600x400/8440c99b-c17c-4b88-98ae-8c09f6e0bb69.webp,https://www.boligsiden.dk/adresse/roskildevej-155-1-th-2500-valby-01015968_155__1__th,Old,High
"Valby Langgade 209, 2500 Valby",6995000,151,4,c,46325,3,https://images.boligsiden.dk/images/case/48064147-499c-4ed6-baae-265465821e3e/600x400/84fb2dce-3b07-4dfd-a179-a17cd6e1bdf4.webp,https://www.boligsiden.dk/adresse/valby-langgade-209-2-2500-valby-01017912_209__2____,New,High
"Karin Nellemoses Vej 12, 2500 Valby",4600000,97,3,b,47423,98,https://images.boligsiden.dk/images/case/fa0d28e3-3d1e-4a47-bd34-0bf0f736a3ac/600x400/2d18c35f-a979-4a89-99b7-881895721b71.webp,https://www.boligsiden.dk/adresse/karin-nellemoses-vej-12-2-th-2500-valby-01013574__12__2__th,Old,High
"Ingrid Marievej 66, 2500 Valby",4450000,93,3,a2020,47849,70,https://images.boligsiden.dk/images/case/06b5580b-bba2-4812-a8fb-e0f6e08b93e7/600x400/5a7b4a53-d16f-4574-9cf5-d94f0e7f871e.webp,https://www.boligsiden.dk/adresse/ingrid-marievej-66-1-1-2500-valby-01013278__66__1___1,Moderate,High
"Valbygårdsvej 76A, 2500 Valby",3500000,72,3,e,48611,17,https://images.boligsiden.dk/images/case/e51c78c3-4016-43cb-bd4f-c944a4fbbd7e/600x400/82c510bc-7d69-4266-9d12-99d440de6b4d.webp,https://www.boligsiden.dk/adresse/valbygaardsvej-76a-1-tv-2500-valby-01017900_76a__1__tv,New,High
"Kløverbladsgade 73, 2500 Valby",5750000,118,4,a2015,48729,51,https://images.boligsiden.dk/images/case/dc665e64-349a-4c04-8922-6ab6ec49515b/600x400/afac6903-6e06-486a-be1e-a88faea5a9cb.webp,https://www.boligsiden.dk/adresse/kloeverbladsgade-73-1-mf-2500-valby-01013788__73__1__mf,Moderate,High
"Gammel Køge Landevej 32, 2500 Valby",4495000,92,3,b,48859,77,https://images.boligsiden.dk/images/case/40f11a9d-f927-4356-ae97-e2055ae1b1c4/600x400/52d5f6ed-3787-4e5d-8275-bdc6334deece.webp,https://www.boligsiden.dk/adresse/gammel-koege-landevej-32-1-tv-2500-valby-01012100__32__1__tv,Moderate,High
"Clara Pontoppidans Vej 12, 2500 Valby",5495000,112,4,c,49062,18,https://images.boligsiden.dk/images/case/d0df7404-05f8-4f8a-9415-a21c6cddb557/600x400/be4d5b43-0f51-48ce-9105-65e1ae6d1742.webp,https://www.boligsiden.dk/adresse/clara-pontoppidans-vej-12-1-mf-2500-valby-01011166__12__1__mf,New,High
"Vigerslevvej 258B, 2500 Valby",3295000,67,3,d,49179,15,https://images.boligsiden.dk/images/case/c7d1c021-6a2d-4d25-9467-26350f951097/600x400/9f4a4fa5-8956-4af6-a746-0cc155f052c0.webp,https://www.boligsiden.dk/adresse/vigerslevvej-258b-0-tv-2500-valby-01018320258b_st__tv,New,High
"Søndre Fasanvej 94C, 2500 Valby",3999000,81,3,c,49370,4,https://images.boligsiden.dk/images/case/ebb6bb3a-a9df-4078-963a-51399a8da4b3/600x400/dba8e8ac-5974-477b-9cb6-82aae14f6d06.webp,https://www.boligsiden.dk/adresse/soendre-fasanvej-94c-2-56-2500-valby-01017312_94c__2__56,New,High
"Ib Schønbergs Allé 6, 2500 Valby",4600000,93,3,a2010,49462,1,https://images.boligsiden.dk/images/case/ed1d65ec-6103-49d4-8b85-f042cc53dff0/600x400/71128e1c-b56c-41e7-ac90-2e85b66e1098.webp,https://www.boligsiden.dk/adresse/ib-schoenbergs-alle-6-2-th-2500-valby-01013258___6__2__th,New,High
"Løgæblevej 3, 2500 Valby",5495000,111,4,a2020,49505,17,https://images.boligsiden.dk/images/case/82caef24-0417-4b0d-8a4a-e9a3c21dac95/600x400/e41a19e4-fb9b-4d69-bd77-18484105c313.webp,https://www.boligsiden.dk/adresse/loegaeblevej-3-0-2500-valby-01014541___3_st____,New,High
"Ib Schønbergs Allé 8, 2500 Valby",4495000,90,3,b,49944,0,https://images.boligsiden.dk/images/case/d10ba54b-7f15-4a58-8a6d-38183d073b08/600x400/92032a71-0792-410a-b9c0-a6b4a8c41386.webp,https://www.boligsiden.dk/adresse/ib-schoenbergs-alle-8-0-th-2500-valby-01013258___8_st__th,,High
